Volt ud	Modstand Thermistor
3.815753	32256.206710
3.814508	32212.871215
3.817167	32305.574302
3.814345	32210.023895
3.815685	32259.440639
3.815767	32256.450965
3.814598	32220.690593
3.814103	32195.364192
3.815315	32243.425825
3.815866	32263.297248
3.815281	32240.354979
3.815222	32239.358924
3.816591	32290.721517
3.817094	32310.699935
3.817836	32334.244282
3.814709	32223.091945
3.814940	32228.075613
3.814535	32211.167193
3.815671	32252.485898
3.813253	32171.298093
3.814605	32218.640921
3.815514	32249.999647
3.817068	32295.017673
3.816094	32272.732152
3.815778	32262.887825
3.814633	32222.252468
3.815681	32248.643583
3.815589	32241.428325
3.815155	32225.528649
3.813060	32161.086601
