Volt ud	Modstand Thermistor
3.814774	32217.801002
3.814077	32196.320057
3.815590	32249.422988
3.815328	32236.271914
3.814206	32202.008310
3.816421	32277.932108
3.813525	32177.563184
3.814967	32225.831907
3.812780	32149.801973
3.815398	32241.142564
3.814316	32204.750397
3.814904	32222.941527
3.815810	32255.799717
3.813209	32162.764271
3.813186	32161.712270
3.813480	32171.893270
3.812164	32127.498847
3.814557	32211.984042
3.816271	32272.009793
3.812541	32140.206425
3.815887	32260.309044
3.815039	32228.075557
3.815489	32243.392138
3.812805	32150.128863
3.815260	32235.111007
3.814337	32207.777675
3.814899	32223.884552
3.815289	32237.944019
3.814458	32208.737744
3.813749	32183.870920
