Volt ud	Modstand Thermistor
3.162521	17219.464378
3.161303	17201.337377
3.162538	17219.644077
3.162777	17223.416233
3.160854	17194.800059
3.162275	17215.940139
3.161453	17204.249975
3.163741	17238.078438
3.162841	17225.384792
3.161877	17210.315189
3.159703	17178.841993
3.162549	17220.015149
3.162719	17223.194644
3.163271	17230.618115
3.162910	17224.752969
3.163425	17234.071914
3.163051	17227.658599
3.161404	17203.241165
3.161972	17211.883967
3.160818	17195.507005
3.162665	17221.740310
3.162688	17222.570478
3.163593	17235.832021
3.163667	17236.716184
3.160755	17194.044603
3.164869	17254.884094
3.163484	17233.141154
3.163563	17235.192849
3.163822	17240.129843
3.163262	17231.410824
