Date:  10:33; onsdag; februar 07; 2024
Model name: Exercise2
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/mm^2 (MPa))  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,3.4       ,3.75  ,45.77  ,0
2  ,3.2       ,3.6875  ,45.77  ,0
3  ,3.0       ,3.625  ,45.77  ,0
4  ,2.8       ,3.5625  ,45.77  ,0
5  ,2.6       ,3.5  ,45.77  ,0
6  ,2.5       ,3.4375  ,45.77  ,0
7  ,2.3       ,3.375  ,45.77  ,0
8  ,2.2       ,3.3125  ,45.77  ,0
9  ,2.1       ,3.25  ,45.77  ,0
10  ,2.0       ,3.1875  ,45.77  ,0
11  ,1.9       ,3.125  ,45.77  ,0
12  ,1.9       ,3.0625  ,45.77  ,0
13  ,1.8       ,3  ,45.77  ,0
14  ,1.7       ,2.9375  ,45.77  ,0
15  ,1.7       ,2.875  ,45.77  ,0
16  ,1.6       ,2.8125  ,45.77  ,0
17  ,1.6       ,2.75  ,45.77  ,0
18  ,1.5       ,2.6875  ,45.77  ,0
19  ,1.5       ,2.625  ,45.77  ,0
20  ,1.4       ,2.5625  ,45.77  ,0
21  ,1.4       ,2.5  ,45.77  ,0
22  ,1.4       ,2.4375  ,45.77  ,0
23  ,1.3       ,2.375  ,45.77  ,0
24  ,1.3       ,2.3125  ,45.77  ,0
25  ,1.3       ,2.25  ,45.77  ,0
26  ,1.3       ,2.1875  ,45.77  ,0
27  ,1.3       ,2.125  ,45.77  ,0
28  ,1.2       ,2.0625  ,45.77  ,0
29  ,1.2       ,2  ,45.77  ,0
30  ,1.2       ,1.9375  ,45.77  ,0
31  ,1.2       ,1.875  ,45.77  ,0
32  ,1.2       ,1.8125  ,45.77  ,0
33  ,1.2       ,1.75  ,45.77  ,0
34  ,1.2       ,1.6875  ,45.77  ,0
35  ,1.1       ,1.625  ,45.77  ,0
36  ,1.1       ,1.5625  ,45.77  ,0
37  ,1.1       ,1.5  ,45.77  ,0
38  ,1.1       ,1.4375  ,45.77  ,0
39  ,1.1       ,1.375  ,45.77  ,0
40  ,1.1       ,1.3125  ,45.77  ,0
41  ,1.1       ,1.25  ,45.77  ,0
42  ,1.1       ,1.1875  ,45.77  ,0
43  ,1.1       ,1.125  ,45.77  ,0
44  ,1.1       ,1.0625  ,45.77  ,0
45  ,1.1       ,1  ,45.77  ,0
46  ,1.1       ,0.9375  ,45.77  ,0
47  ,1.1       ,0.875  ,45.77  ,0
48  ,1.1       ,0.8125  ,45.77  ,0
49  ,1.0       ,0.75  ,45.77  ,0
50  ,1.0       ,0.6875  ,45.77  ,0
51  ,1.0       ,0.625  ,45.77  ,0
52  ,1.0       ,0.5625  ,45.77  ,0
53  ,1.0       ,0.5  ,45.77  ,0
54  ,1.0       ,0.4375  ,45.77  ,0
55  ,1.0       ,0.375  ,45.77  ,0
56  ,1.0       ,0.3125  ,45.77  ,0
57  ,1.0       ,0.25  ,45.77  ,0
58  ,1.0       ,0.1875  ,45.77  ,0
59  ,1.0       ,0.125  ,45.77  ,0
60  ,1.0       ,0.0625  ,45.77  ,0
61  ,1.0       ,0  ,45.77  ,0
62  ,1.0       ,0  ,45.833  ,0
63  ,1.0       ,0  ,45.922  ,0
64  ,1.0       ,0  ,46.045  ,0
65  ,1.0       ,0  ,46.218  ,0
66  ,1.1       ,0  ,46.46  ,0
67  ,1.1       ,0  ,46.799  ,0
68  ,1.2       ,0  ,47.274  ,0
69  ,1.3       ,0  ,47.777  ,0
70  ,1.4       ,0  ,48.28  ,0
71  ,1.5       ,0  ,48.783  ,0
72  ,1.5       ,0  ,49.286  ,0
73  ,1.5       ,0  ,49.789  ,0
74  ,1.5       ,0  ,50.292  ,0
75  ,1.4       ,0  ,50.795  ,0
76  ,1.3       ,0  ,51.298  ,0
77  ,1.3       ,0  ,51.801  ,0
78  ,1.2       ,0  ,52.304  ,0
79  ,1.2       ,0  ,52.807  ,0
80  ,1.1       ,0  ,53.31  ,0
81  ,1.1       ,0  ,53.813  ,0
82  ,1.0       ,0  ,54.316  ,0
83  ,1.0       ,0  ,54.819  ,0
84  ,1.0       ,0  ,55.322  ,0
85  ,0.9       ,0  ,55.825  ,0
86  ,0.9       ,0  ,56.328  ,0
87  ,0.9       ,0  ,56.831  ,0
88  ,0.9       ,0  ,57.334  ,0
89  ,0.9       ,0  ,57.837  ,0
90  ,0.9       ,0  ,58.34  ,0
91  ,0.9       ,0  ,58.843  ,0
92  ,0.8       ,0  ,59.346  ,0
93  ,0.8       ,0  ,59.849  ,0
94  ,0.8       ,0  ,60.352  ,0
95  ,0.8       ,0  ,60.856  ,0
96  ,0.8       ,0  ,61.359  ,0
97  ,0.8       ,0  ,61.862  ,0
98  ,0.8       ,0  ,62.365  ,0
99  ,0.8       ,0  ,62.868  ,0
100  ,0.7       ,0  ,63.371  ,0
101  ,0.7       ,0  ,63.874  ,0
102  ,0.7       ,0  ,64.377  ,0
103  ,0.7       ,0  ,64.88  ,0
104  ,0.7       ,0  ,65.383  ,0
105  ,0.7       ,0  ,65.886  ,0
106  ,0.7       ,0  ,66.389  ,0
107  ,0.7       ,0  ,66.892  ,0
108  ,0.7       ,0  ,67.395  ,0
109  ,0.7       ,0  ,67.898  ,0
110  ,0.7       ,0  ,68.401  ,0
111  ,0.7       ,0  ,68.904  ,0
