Volt ud	Modstand Thermistor
3.166621	17279.327953
3.164254	17244.829705
3.165179	17257.774029
3.164982	17255.439920
3.164900	17254.064442
3.164634	17249.907390
3.164656	17250.243696
3.163517	17233.186235
3.164266	17244.100561
3.165777	17266.800434
3.165203	17258.294146
3.162253	17215.654296
3.163601	17235.219445
3.162316	17215.517067
3.163971	17240.291958
3.164111	17242.308547
3.164315	17245.115075
3.164361	17246.232202
3.163304	17230.773994
3.162550	17219.445714
3.164346	17245.717413
3.163628	17234.762481
3.163443	17232.159432
3.163087	17226.966375
3.164634	17250.065778
3.164694	17250.429204
3.162712	17221.745574
3.164279	17244.240784
3.163561	17234.194724
3.164093	17241.643850
