Volt ud	Modstand Thermistor
2.466469	9736.526493
2.466753	9738.804881
2.465203	9726.699714
2.466417	9736.143547
2.466226	9734.635998
2.466635	9737.728920
2.465993	9732.925724
2.466615	9737.733482
2.464138	9718.391687
2.465399	9728.307759
2.464121	9718.355491
2.466519	9736.947587
2.465188	9726.701053
2.465024	9725.452155
2.465689	9730.574564
2.465564	9729.790893
2.465979	9732.977327
2.465846	9731.721576
2.465426	9728.457068
2.465115	9725.926205
2.465774	9731.259862
2.465489	9729.000420
2.466035	9733.283663
2.464877	9724.370648
2.465484	9729.000497
2.465082	9725.936936
2.465074	9725.920419
2.464978	9724.938452
2.464773	9723.047334
2.463121	9709.976852
