Volt ud	Modstand Thermistor
2.465738	9730.858783
2.466702	9738.408084
2.465448	9728.534966
2.466039	9733.263507
2.465805	9731.404746
2.465485	9729.013859
2.466072	9733.563784
2.465576	9729.760630
2.464153	9718.660898
2.465741	9730.883962
2.464595	9722.100720
2.464616	9722.320252
2.465058	9725.658297
2.464021	9717.653053
2.464463	9721.006600
2.466117	9733.882042
2.464826	9723.807079
2.465989	9732.788807
2.465731	9730.928876
2.465034	9725.457751
2.464542	9721.656947
2.465975	9732.846590
2.464782	9723.503801
2.464763	9723.450364
2.466567	9737.424973
2.465425	9728.500575
2.464689	9722.734070
2.466338	9735.635309
2.465763	9731.230144
2.463692	9715.073381
