Volt ud	Modstand Thermistor
3.813709	32184.931374
3.812447	32134.320434
3.812718	32147.903013
3.813054	32159.793435
3.811585	32113.853196
3.811807	32117.568253
3.812584	32146.199498
3.813297	32169.561271
3.812974	32162.175409
3.813715	32184.465230
3.812065	32124.793607
3.813121	32164.284599
3.810274	32061.819383
3.813213	32165.774381
3.810912	32085.415284
3.812933	32156.968726
3.811074	32093.222976
3.812033	32127.164725
3.812677	32146.008935
3.813492	32177.510729
3.811282	32098.244578
3.811613	32112.850665
3.813342	32175.426870
3.813139	32163.091559
3.810677	32078.943263
3.814502	32212.261664
3.811743	32117.068628
3.813115	32162.029861
3.812288	32131.477663
3.811801	32113.107716
